Project Name,Website,Telegram,Twitter,CoinMarketCap Link
Diamond Hands on TON,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/diamond-hands-on-ton/
HantaVirus,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/hantavirus/
Make TON Great Again,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/make-ton-great-again/
Direxion Daily Semiconductor ETF (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/direxion-daily-semiconductor-etf-derivatives/
RIAL,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/rial/
Tencent Holdings Ltd (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/tencent-holdings-ltd-derivatives/
MiniMax Group (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/minimax-group-derivatives/
Xiaomi Corp (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/xiaomi-corp-derivatives/
Pop Mart International Group Limited (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/pop-mart-international-group-limited-derivatives/
GIGGLE CAT,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/gicat/
ShareX,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/sharex-network/
Zoom (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/zoom-derivatives/
eBay (Derivatives),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/ebay-derivstives/
Asteroid Floki,https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/asteroid-floki/
Wrapped Bitcoin (Canton),https://sensors.saasexch.com/sd/8lK/ys/79FTbf,,https://twitter.com/CoinMarketCap,https://coinmarketcap.com/currencies/wrapped-bitcoin-canton/
