Project Name,CoinMarketCap URL,Official Website URL,LinkedIn URLs,Telegram URLs
Lido Staked,https://coinmarketcap.com/currencies/steth/,https://www.lido.fi/,N/A,N/A
USDSUSDS,https://coinmarketcap.com/currencies/usds/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Lido wst,https://coinmarketcap.com/currencies/lido-finance-wsteth/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Wrapped BitcoinWBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,https://www.slowmist.com/en/security-audit-certificate.html?id=19b0299be6f8f7bc6fc7a701aed5a28bae5c2225c122b3637c593420a4070c55,N/A,https://t.me/wbtc_community
Wrapped Beacon,https://coinmarketcap.com/currencies/wrapped-beacon-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/binance_announcements
WETHWETH,https://coinmarketcap.com/currencies/weth/,https://hacken.io/audits/singularitydao/,N/A,N/A
Coinbase Wrapped,https://coinmarketcap.com/currencies/coinbase-wrapped-btc/,https://usethebitcoin.com/news/brian-armstrong-backs-clarity-act/,N/A,N/A
Bitcoin BEP2BTCB,https://coinmarketcap.com/currencies/bitcoin-bep2/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
USDT0USDT0,https://coinmarketcap.com/currencies/usdt0/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Aave Ethereum W,https://coinmarketcap.com/currencies/aave-ethereum-weth/,https://www.huobi.com/en-us/exchange/aethweth_eth?inviter_id=11345710&invite_code=zh5i6223,N/A,https://t.me/Aavesome
Wrapped e,https://coinmarketcap.com/currencies/wrapped-eeth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/+C3fpSjmPqzA5NTVh
Aave Ethereum U,https://coinmarketcap.com/currencies/aave-ethereum-usdt/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/Aavesome
Ethena Staked,https://coinmarketcap.com/currencies/ethena-staked-usde/,https://t.co/NUgrHzeJpi,N/A,N/A
syrupUSDCsyrupUSDC,https://coinmarketcap.com/currencies/syrup-usdc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/maplefinance
Wrapped TRONWTRX,https://coinmarketcap.com/currencies/wrapped-tron/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/tronnetworkEN
Kelp DAO Restaked,https://coinmarketcap.com/currencies/kelp-dao-restaked-eth/,https://t.co/zjiuwg8UBP,N/A,N/A
Bitcoin TRC20BTCT,https://coinmarketcap.com/currencies/bitcoin-trc20/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
BFUSDBFUSD,https://coinmarketcap.com/currencies/bfusd/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/binanceexchange
USD Coin BridgedUSDC.e,https://coinmarketcap.com/currencies/usd-coin-bridged-usdc-e/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
BounceBit BTCBBTC,https://coinmarketcap.com/currencies/bouncebit-btc/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Ethena Labs (USDtb),https://coinmarketcap.com/currencies/ethena-labs-usdtb/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/conorryder
Wrapped BNBWBNB,https://coinmarketcap.com/currencies/wbnb/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Binance Staked,https://coinmarketcap.com/currencies/binance-staked-sol/,https://www.binance.com/en/trade/BNSOL_SOL?ref=40896146,N/A,N/A
Lombard Staked,https://coinmarketcap.com/currencies/lombard-staked-btc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
FunctionFBTC,https://coinmarketcap.com/currencies/ignition-fbtc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Kinetiq Staked,https://coinmarketcap.com/currencies/kinetiq-staked-hype/,https://app.hyperliquid.xyz/trade/KHYPE/USDH,N/A,N/A
Jito Staked,https://coinmarketcap.com/currencies/jito-staked-sol/,https://blockworks.com/price/jito,N/A,N/A
Rocket Pool,https://coinmarketcap.com/currencies/rocket-pool-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Liquid Staked,https://coinmarketcap.com/currencies/liquid-staked-eth/,https://exchange.coinbase.com/trade/LSETH-USD,N/A,N/A
Wrapped FlareWFLR,https://coinmarketcap.com/currencies/wrapped-flare/,https://openocean.finance/,N/A,N/A
Lista Staked,https://coinmarketcap.com/currencies/slisbnb/,https://lista.org/rwa,N/A,https://t.me/ListaDAO
syrupUSDTsyrupUSDT,https://coinmarketcap.com/currencies/syrup-usdt/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/maplefinance
tBTCTBTC,https://coinmarketcap.com/currencies/tbtc-token/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Bond USD0bUSD0,https://coinmarketcap.com/currencies/usd0-liquid-bond/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
slisBNBxslisBNBx,https://coinmarketcap.com/currencies/slisbnbx/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/ListaDAO
Mantle Staked,https://coinmarketcap.com/currencies/mantle-staked-ether/,https://www.bybit.com/en-US/trade/spot/METH/USDT?affiliate_id=157132,N/A,N/A
SolvBTCSolvBTC,https://coinmarketcap.com/currencies/solv-btc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Jupiter Staked,https://coinmarketcap.com/currencies/jupiter-staked-sol/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/jup_marketing
Wrapped ChilizWCHZ,https://coinmarketcap.com/currencies/wrapped-chiliz/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/chiliz_io
Venus BTCvBTC,https://coinmarketcap.com/currencies/venus-btc/,https://app.venus.io,N/A,https://t.me/VenusProtocol
Venus BNBvBNB,https://coinmarketcap.com/currencies/venus-bnb/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/VenusProtocol
ether.fi Staked,https://coinmarketcap.com/currencies/ether-fi/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
