Project Name,Project URL,Category URL
Lido Staked,https://coinmarketcap.com/currencies/steth/,https://coinmarketcap.com/view/rehypothecated-crypto/
USDSUSDS,https://coinmarketcap.com/currencies/usds/,https://coinmarketcap.com/view/rehypothecated-crypto/
Lido wst,https://coinmarketcap.com/currencies/lido-finance-wsteth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped BitcoinWBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped Beacon,https://coinmarketcap.com/currencies/wrapped-beacon-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
WETHWETH,https://coinmarketcap.com/currencies/weth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Coinbase Wrapped,https://coinmarketcap.com/currencies/coinbase-wrapped-btc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Bitcoin BEP2BTCB,https://coinmarketcap.com/currencies/bitcoin-bep2/,https://coinmarketcap.com/view/rehypothecated-crypto/
USDT0USDT0,https://coinmarketcap.com/currencies/usdt0/,https://coinmarketcap.com/view/rehypothecated-crypto/
Aave Ethereum W,https://coinmarketcap.com/currencies/aave-ethereum-weth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped e,https://coinmarketcap.com/currencies/wrapped-eeth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Aave Ethereum U,https://coinmarketcap.com/currencies/aave-ethereum-usdt/,https://coinmarketcap.com/view/rehypothecated-crypto/
Ethena Staked,https://coinmarketcap.com/currencies/ethena-staked-usde/,https://coinmarketcap.com/view/rehypothecated-crypto/
syrupUSDCsyrupUSDC,https://coinmarketcap.com/currencies/syrup-usdc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped TRONWTRX,https://coinmarketcap.com/currencies/wrapped-tron/,https://coinmarketcap.com/view/rehypothecated-crypto/
Kelp DAO Restaked,https://coinmarketcap.com/currencies/kelp-dao-restaked-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Bitcoin TRC20BTCT,https://coinmarketcap.com/currencies/bitcoin-trc20/,https://coinmarketcap.com/view/rehypothecated-crypto/
BFUSDBFUSD,https://coinmarketcap.com/currencies/bfusd/,https://coinmarketcap.com/view/rehypothecated-crypto/
BounceBit BTCBBTC,https://coinmarketcap.com/currencies/bouncebit-btc/,https://coinmarketcap.com/view/rehypothecated-crypto/
USD Coin BridgedUSDC.e,https://coinmarketcap.com/currencies/usd-coin-bridged-usdc-e/,https://coinmarketcap.com/view/rehypothecated-crypto/
Ethena Labs (USDtb),https://coinmarketcap.com/currencies/ethena-labs-usdtb/,https://coinmarketcap.com/view/rehypothecated-crypto/
Kinetiq Staked,https://coinmarketcap.com/currencies/kinetiq-staked-hype/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped BNBWBNB,https://coinmarketcap.com/currencies/wbnb/,https://coinmarketcap.com/view/rehypothecated-crypto/
Binance Staked,https://coinmarketcap.com/currencies/binance-staked-sol/,https://coinmarketcap.com/view/rehypothecated-crypto/
Lombard Staked,https://coinmarketcap.com/currencies/lombard-staked-btc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Jito Staked,https://coinmarketcap.com/currencies/jito-staked-sol/,https://coinmarketcap.com/view/rehypothecated-crypto/
FunctionFBTC,https://coinmarketcap.com/currencies/ignition-fbtc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Rocket Pool,https://coinmarketcap.com/currencies/rocket-pool-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped FlareWFLR,https://coinmarketcap.com/currencies/wrapped-flare/,https://coinmarketcap.com/view/rehypothecated-crypto/
Liquid Staked,https://coinmarketcap.com/currencies/liquid-staked-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Lista Staked,https://coinmarketcap.com/currencies/slisbnb/,https://coinmarketcap.com/view/rehypothecated-crypto/
syrupUSDTsyrupUSDT,https://coinmarketcap.com/currencies/syrup-usdt/,https://coinmarketcap.com/view/rehypothecated-crypto/
tBTCTBTC,https://coinmarketcap.com/currencies/tbtc-token/,https://coinmarketcap.com/view/rehypothecated-crypto/
Bond USD0bUSD0,https://coinmarketcap.com/currencies/usd0-liquid-bond/,https://coinmarketcap.com/view/rehypothecated-crypto/
slisBNBxslisBNBx,https://coinmarketcap.com/currencies/slisbnbx/,https://coinmarketcap.com/view/rehypothecated-crypto/
SolvBTCSolvBTC,https://coinmarketcap.com/currencies/solv-btc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Mantle Staked,https://coinmarketcap.com/currencies/mantle-staked-ether/,https://coinmarketcap.com/view/rehypothecated-crypto/
Jupiter Staked,https://coinmarketcap.com/currencies/jupiter-staked-sol/,https://coinmarketcap.com/view/rehypothecated-crypto/
